Nom,Note Alex,Texte,URL,date de mise à jour n8n,Étiquettes
,,,,,
prompt youtubeur ludo,,https://cfmpc04.na1.hubspotlinks.com/Ctc/I2+113/cfMpC04/MX1blLYBYw7MlPlQ3q0Hj7W5b9Bvk5dkg4bN1CRsYY5nXHsW5BWr2F6lZ3nlW33mSwG1QfdYwVQhW_H7pjrh-W426Bxt41GNXPN4xPBK_93q88W81s_LG29Fy2TTXtp520QpxlW4Hmj0X28Zh6WW8Bqmvc8jV8YFW8Z_RlM5YYFwRVf-SWs8Kqx9WW3g79qZ1_VBS8N3wT5CbrpGDKN29bd0tQwczHW6FMwb01hCSWqW50rTYL6_v4rKW8crRlJ14SnHKW1WhWby6S1d_WVV678k6RtD16W51XbX22GjY1JW26Ypth21zRRXW1RjJKx5C_7M8W2GF5jf30DrK3W1tM-zh5mdNcSN1JH3hgkP91JW8gdR3G30yFHLW4BLPhj33FYGmW5LPfZY8VdysZW2V4pvB7WB520W3BfgRC3lg7JyW53YBr991xJRsW32y_Rs6Y6Mj2W8-q8xB5xvGFSW3qqcHw8Nf8BbVYPRL-7fX5gQf1cQx4C04,,,tuto
Profilé Vslot,,"Discussion avec Oratek : 
il y as différent profilé propriétaires ou non .
- bosh → https://www.boschrexroth.com/fr/ch/produits/groupes-de-produits/technologie-de-montage/sujets/profiles-en-aluminium-solutions-composants/
- ITEM → https://www.item24.com/fr-fr/technique-des-profiles/profiles-de-construction
- Motedis → https://www.motedis.ch/fr/Profile-aluminium-40x40L-Type-I-rainure-8",,,Matériel
BLENDER Animation procédurale / géometry nodes,,"Workshop mapping festival
Blender Animation procédurale",,,tuto
formation automatisation ludo sln,,,,,tuto
blue sky light,,,,,
,,,,,
prompt R+C+T+I+F,,,,,Methode
Votre idée va devenir une réalité de Fabien Olicard,,,,,Livre
SELL ART ONLINE,,,,,Methode
SellArtGuides_ Book 1_ “21 Steps To Sell Your Art Online In Less Than 1 Week”,,,,,
SellArtGuides_ Book 1_ “21 Steps To Sell Your Art Online In Less Than 1 Week”,,,,,
https://splice.com/,,banque de sound design,,,contenu numérique
https://uk.misumi-ec.com/?ppc_keyword=misumi&gad_source=1&gbraid=0AAAAADf46G3umBmzBQsodjLhwnDvSeIRB&gclid=Cj0KCQjwpP63BhDYARIsAOQkATYP7teaOqEOR--sIeco9rHyrgEhS5rhWL-3ucjt5gh_CzcLYocyNCAaAi1nEALw_wcB,,profile alu etc,,,Matériel
phoenix Mecano,,profilé v-slot et boitiers,,,Matériel
systéai,,profilé v-slot,,,Matériel
the good plastique compagny,,plaques de plastique recyclé,,,Matériel
https://smile-plastics.com/fr/,,plaques de plastique recyclé,,,Matériel
http://int.studio/,,,,,studio
https://www.encor.studio/studio,,,,,studio
"install n8n en local sur mac ",,https://docs.n8n.io/hosting/installation/docker/#setting-timezone,,,tuto
setup windows pour un show,,https://tomsepe.com/sepeblog/2020/11/08/show-machine-setup-for-permanent-and-temporary-art-installations-windows-10/,,,Methode
Chataigne,,,,,Logiciel
https://scaniverse.com/caniverse,,https://scaniverse.com/,,,Logiciel
install comfyui,,https://stable-diffusion-art.com/how-to-install-comfyui/,,,tuto
https://www.dezeen.com/2025/02/11/special-effects-aluminium-david-taylor-bukowskis/,,,,,artiste
Clarity AI,,alternative à http://magnific.ai/,,,ai
"Gumloop ",,https://www.gumloop.com/,,,App
touchdesigner,,,,,Logiciel
TextFX,,,https://textfx.withgoogle.com,,"ai, webapp"
Replit,,,https://replit.com/pricing,,"ai, webapp"
Cursor,,,https://www.cursor.com,,"ai, webapp"
Atelier Simon Husslein,,,https://husslein.net/Info,,designer
Studio Playfool,,,https://studioplayfool.com/index,,"designer, studio"
"atelier colaboratif ",,,https://www.atelier-collaboratif.com,,facilitation
ossia,,,https://ossia.io,,Logiciel
"Metaa ",,,https://metaa.ch/fr/,,
Replicate,,"IA génération d’image qui réplique des sujets ",https://replicate.com/,,ai
OSC to moteur driver,,carte moteur driver OSC,https://github.com/ponoor/STEP400,,Matériel
,,"carte moteur driver ",https://github.com/Neumi/ethersweep?tab=readme-ov-file,,Matériel
upmeet,,,https://upmeet.ai/fr/use-cases,,"App, ai"
fournisseur àccessoir v-slot,,,https://yqjinli.en.alibaba.com/,,
,,,https://www.ious-studio.com/about,,
Sandhelden,,,https://www.sandhelden.de/?utm_medium=paid&utm_source=ig&utm_id=120220730625450360&utm_content=120220730625430360&utm_term=120220730625440360&utm_campaign=120220730625450360,,
Sandhelden,,,https://www.sandhelden.de/?utm_medium=paid&utm_source=ig&utm_id=120220730625450360&utm_content=120220730625430360&utm_term=120220730625440360&utm_campaign=120220730625450360,,Matériel
Alpi,,,https://www.alpi.it/it,,Matériel
,,,https://arcturus.studio,,technologie
,,,https://lightcraft.pro/jetset/,,"App, Logiciel, technologie"
,,,https://www.constructions-3d.com/www.constructions-3d.com/fr,,
,,,https://droga5.ie/work/,,
,,,https://www.miguel-chevalier.com/works,,
,,,https://www.showtex.com/fr,,
app caféine,,,,,
,,,https://furnimesh.com/dashboard/billing/,,
WORKSHOP ETIENNE MINEUR MAPPING,,,,,WORKSHOP
Conf  Yannick Jacquet  Mapping festival,,,https://daisy-cut-aac.notion.site/IA-et-Nous-Bibliographie-14e138eefa1380ec8b72f8439d779d2a,,
,,,https://www.afiro.ch/,,
,,,https://www.a2p.agency/en/,,
,,,https://www.narrative.swiss/fr/,,
,,,"https://www.circuito.io/app?components=512,11021",,
,,,https://www.panterra.tokyo/,,
,,,https://app.topazlabs.com/bloom,,
,,,kive.ai,,
,,,https://higgsfield.ai/motion/b593944e-ae3e-47ce-8c6d-ea8dd87fe01f,,
,,,https://www.tarsaevents.ch,,
,,,https://wangsoderstrom.com/between-earth-and-cloud,,
,,,https://www.kensortais.com/,,
,,,https://www.pisoni-lab.ch/,,
,,,https://annas-archive.org/,,
,,,https://vb-audio.com/Voicemeeter/,,
Golan levin,,,,,
Karsten schmidt,,,,,
"Jean Louis boissier ",,,,,
,,,https://www.recraft.ai/,,
,,,https://www.vizcom.ai,,
,,,https://rustdesk.com/fr/,,
,,,https://www.remakeit.io/fr,,
,,,https://openstudio.ing/,,
,,,https://www.mrcutout.com/,,
,,,https://wiki.bambulab.com/en/knowledge-sharing/transparent-petg,,
Hideo Kojima,,,,,
,,,https://www.sandhelden.de,,
,,,https://www.evdh.net/,,
Longsplat,,,,,
,,,https://bichenko.info,,
,,,https://www.gregoirevorpe.ch/category/all-products?utm_medium=paid&utm_source=ig&utm_id=120232509218590579&utm_content=120232509219960579&utm_term=120232509219030579&utm_campaign=120232509218590579&fbclid=PAQ0xDSwMYqL5leHRuA2FlbQEwAGFkaWQBqybUhbfYcwGnphLG6575VsB7gymtTvKw50i5pII3zbIHKTGZHjJeq2DL_ko1P6BOcNQF-Bg_aem_sAKbljsAaQ676Ugcf5LsXw,,
,,,http://danielwidrig.com/,,
,,,https://www.doronsupply.com/product/dithertone-pro?pins_campaign_id=626751072348&pp=0,,
,,,https://www.vizcom.ai,,
Chip art,,,,,
,,,https://marble.worldlabs.ai,,
DA²,,,https://depth-any-in-any-dir.github.io/,,
,,,https://polnum.ch,,
,,,https://www.sockelundsaeulen.ch/,,
,,,https://www.pixlum.fr/pixlum/le-concept/,,
https://www.dezeen.com/2025/11/21/tadao-ando-drawings-book-roundup/,,,,,
,,,https://disnovation.org/index.php,,
,,,https://disnovation.org/bestiary_exhibit.php,,
,,,https://levfestival.com/en/,,
,,,https://www.biennalenemo.fr/,,
,,,https://openstagecontrol.ammd.net,,
,,,https://chloemichel.com,,
,,,https://store.rainwalker.ee/products/kiisu-v4b,,
,,,https://store.rainwalker.ee/products/kiisu-v4b,,
,,,https://www.rewirefestival.nl,,
sujets-objets,,,https://sujets-objets.ch,,
Aporee,,,https://aporee.org/maps/,,
Oray,,,https://oray.fr/,,
opalka,,,,,
,,,https://www.musee-orangerie.fr/fr/agenda/expositions/dans-le-flou-une-autre-vision-de-lart-de-1945-nos-jours,,
,,,https://www.kickstarter.com/projects/nazaray/sound-blocks-a-playground-for-composing-music,,
,,,https://www.reeps100.com,,
Joris Laarman,,,,,
,,,https://www.cub-cie.com/location/vente-cable-sur-mesure/?utm_source=chatgpt.com,,
